name,sdgs/0/shortName,sdgs/1/shortName,sdgs/2/shortName,sdgs/3/shortName,sdgs/4/shortName,sdgs/5/shortName,sdgs/6/shortName,sdgs/7/shortName,sdgs/8/shortName,sdgs/9/shortName,sdgs/10/shortName,sdgs/11/shortName,sdgs/12/shortName,sdgs/13/shortName,sdgs/14/shortName,sdgs/15/shortName,sdgs/16/shortName
France,,,,,,,SDG7,SDG8,,,,SDG12,SDG13,,,,SDG17
Fiji,,,,,,,,,,,,,,,,,
Gabon,,SDG2,SDG3,,SDG5,SDG6,,SDG8,SDG9,SDG10,SDG11,SDG12,,SDG14,,SDG16,
Gambia,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,
Georgia,,SDG2,SDG3,,SDG5,,,SDG8,SDG9,SDG10,,SDG12,,,SDG15,SDG16,
Germany,,,,,,,,,SDG9,,,,SDG13,SDG14,,,
Ghana,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,,SDG14,SDG15,SDG16,
Greece,,,SDG3,,SDG5,,SDG7,SDG8,SDG9,SDG10,,SDG12,SDG13,,,SDG16,SDG17
Guatemala,,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,,SDG12,,SDG14,SDG15,SDG16,SDG17
Guinea,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,,SDG14,SDG15,SDG16,SDG17
Guinea-Bissau,,,,,,,,,,,,,,,,,
Guyana,,,SDG3,SDG4,,,SDG7,SDG8,SDG9,,,SDG12,SDG13,SDG14,,SDG16,
Haiti,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,,SDG14,SDG15,SDG16,
Honduras,SDG1,SDG2,SDG3,SDG4,,,SDG7,SDG8,SDG9,SDG10,,,,SDG14,SDG15,SDG16,
Hungary,,,SDG3,,SDG5,,SDG7,SDG8,SDG9,,,SDG12,SDG13,,SDG15,SDG16,
Iceland,,,,,,,,,,,,,SDG13,SDG14,SDG15,,SDG17
India,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,
Indonesia,SDG1,SDG2,SDG3,,SDG5,SDG6,SDG7,,SDG9,,SDG11,SDG12,,SDG14,SDG15,SDG16,SDG17
Iran (Islamic Republic Of),,SDG2,SDG3,,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,SDG13,SDG14,,SDG16,SDG17
Iraq,,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,
Ireland,,SDG2,,,SDG5,,SDG7,SDG8,,,,SDG12,SDG13,SDG14,SDG15,,SDG17
Israel,SDG1,SDG2,,,,SDG6,SDG7,,,SDG10,SDG11,,SDG13,SDG14,SDG15,SDG16,
Italy,,,,SDG4,,,,SDG8,SDG9,,,SDG12,SDG13,SDG14,,SDG16,SDG17
Jamaica,,SDG2,SDG3,,SDG5,,SDG7,SDG8,SDG9,SDG10,,SDG12,,SDG14,SDG15,SDG16,
Japan,SDG1,,,,SDG5,,SDG7,,,,,,SDG13,SDG14,SDG15,,SDG17
Jordan,,SDG2,SDG3,,SDG5,SDG6,,SDG8,SDG9,,SDG11,,,SDG14,SDG15,,
Kazakstan,,SDG2,SDG3,SDG4,,,SDG7,,SDG9,,,,SDG13,,SDG15,SDG16,SDG17
Kenya,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,
"Korea, Democratic People's Rep",,,,,,,,,,,,,,,,,
"Korea, Republic of",,,SDG3,,SDG5,SDG6,SDG7,SDG8,,,SDG11,,SDG13,SDG14,SDG15,,SDG17
Kosovo,,,,,,,,,,,,,,,,,
Kuwait,,SDG2,SDG3,,SDG5,SDG6,,,SDG9,,SDG11,SDG12,SDG13,SDG14,,,SDG17
Kyrgyzstan,,,SDG3,,SDG5,,,SDG8,SDG9,,,SDG12,,,SDG15,SDG16,
Lao People's Democratic Rep,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,,,SDG15,SDG16,
Latvia,,,,,SDG5,,,,,,,,,,SDG15,SDG16,
